Youtuber,Subscribers,Video Views,Uploads,Category,Country,Abbreviation,Lowest Monthly Earnings,Highest Monthly Earnings,Gross Tertiary Education Enrollment (%),Unemployment Rate,Population,Urban Population,Created Year
AlArabiya,12900000,7520379951,169304,People & Blogs,United Arab Emirates,AE,20100.0,320900.0,36.8,2.35,9770529,8479744,2006
The Shiny Peanut,12900000,2848466522,2337,Education,Indonesia,ID,209.0,3400.0,36.3,4.69,270203917,151509724,2016
Top Viral Talent,12900000,3643698504,1598,Entertainment,United States,US,7300.0,117500.0,88.2,14.7,328239523,270663028,2014
BIBO,12900000,3178222797,193,Entertainment,South Korea,KR,1000.0,16000.0,94.3,4.15,51709098,42106719,2016
gymvirtual,12900000,2509752944,1572,Sports,Spain,ES,3000.0,48000.0,88.9,13.96,47076781,37927409,2010
Matheus Yurley,12900000,140022442,69,Entertainment,Brazil,BR,37.0,591.0,51.3,12.08,212559417,183241641,2015
Pastor Ant,12900000,2112274210,4712,People & Blogs,Brazil,BR,7900.0,127200.0,51.3,12.08,212559417,183241641,2013
Beyonc,12800000,14185611472,168,Music,United States,US,22400.0,358300.0,88.2,14.7,328239523,270663028,2009
Right to Shiksha,12800000,7876740921,2044,Education,India,IN,53400.0,855000.0,28.1,5.36,1366417754,471031528,2020
Adam W,12800000,9502983550,681,Comedy,United States,US,57200.0,915800.0,88.2,14.7,328239523,270663028,2015
MrSuicideSheep,12800000,6970899521,3483,Entertainment,Canada,CA,4500.0,72500.0,68.9,5.56,36991981,30628482,2010
Troom Troom India,12800000,6804072897,2385,Howto & Style,Other,Other,4300.0,69100.0,63.2,9.3,436369043,226156206,2015
Duo Tiempo De Sol,12800000,6662288136,323,Music,Spain,ES,13500.0,216000.0,88.9,13.96,47076781,37927409,2013
Melon City Show -,12800000,5863456698,1727,Comedy,Iraq,IQ,8800.0,141300.0,16.2,12.82,39309783,27783368,2016
Talking Angela,12800000,3632438963,233,Entertainment,United Kingdom,GB,7000.0,111800.0,60.0,3.85,66834405,55908316,2014
Go Ami Go!,12700000,1714955279,252,People & Blogs,Colombia,CO,81900.0,1300000.0,55.3,9.71,50339443,40827302,2015
Heidi y Zidane,12700000,6001189018,600,Other,United States,US,4000.0,64500.0,88.2,14.7,328239523,270663028,2019
YoungBoy Never Broke Again,12700000,13174393401,142,Entertainment,United States,US,42500.0,679900.0,88.2,14.7,328239523,270663028,2015
Piuzinho,12700000,1081285962,504,Gaming,Brazil,BR,905.0,14500.0,51.3,12.08,212559417,183241641,2015
Ref,12700000,2709954270,846,Entertainment,Other,Other,1700.0,27800.0,63.2,9.3,436369043,226156206,2013
Blossom,12700000,4733873025,812,Howto & Style,United States,US,11000.0,175500.0,88.2,14.7,328239523,270663028,2017
Franco Escamilla,12700000,4266957149,2483,Comedy,Mexico,MX,19400.0,309900.0,40.2,3.42,126014024,102626859,2007
Future,12700000,9927699419,119,Music,United States,US,118.0,1900.0,88.2,14.7,328239523,270663028,2020
Diana and Roma IND,12700000,5567832210,534,Other,United States,US,11700.0,186400.0,88.2,14.7,328239523,270663028,2019
Adexe & Nau,12700000,4579773883,594,Music,Spain,ES,2500.0,40300.0,88.9,13.96,47076781,37927409,2013
Ian Lucas,12700000,1450874545,50,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2016
FACT FIRE KING,12700000,1159290255,782,Other,India,IN,12800.0,205200.0,28.1,5.36,1366417754,471031528,2020
Jass Records,12700000,5958994201,1,Music,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2012
SULGI,12600000,3485373675,683,People & Blogs,South Korea,KR,28300.0,452500.0,94.3,4.15,51709098,42106719,2012
NickiMinajAtVEVO,12600000,8831179714,99,Music,United States,US,8800.0,140100.0,88.2,14.7,328239523,270663028,2010
Ellie Goulding,12600000,6969178081,218,Music,United Kingdom,GB,9200.0,146700.0,60.0,3.85,66834405,55908316,2007
CaseyNeistat,12600000,3152402405,1101,People & Blogs,United States,US,1500.0,23800.0,88.2,14.7,328239523,270663028,2010
Morgz,12600000,3303595310,825,Gaming,United Kingdom,GB,14700.0,235400.0,60.0,3.85,66834405,55908316,2014
Parafernalha,12500000,4625777945,1888,Entertainment,Brazil,BR,1800.0,28600.0,51.3,12.08,212559417,183241641,2011
Quantum Tech HD,12500000,4340213066,223,Science & Technology,Pakistan,PK,2.0,35.0,9.0,4.45,216565318,79927762,2022
CKM,12500000,4465772496,117,Comedy,India,IN,3300.0,52600.0,28.1,5.36,1366417754,471031528,2018
Troom Troom Indonesia,12500000,5379684248,8,People & Blogs,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2020
Mundo Bita,12500000,16690788752,253,Music,Brazil,BR,53400.0,854800.0,51.3,12.08,212559417,183241641,2011
Flowers Comedy,12500000,11691081301,11907,Entertainment,India,IN,45000.0,720100.0,28.1,5.36,1366417754,471031528,2015
Zee Tamil,12500000,11552190002,102699,Entertainment,India,IN,87500.0,1400000.0,28.1,5.36,1366417754,471031528,2008
Family Fitness,12500000,10384848759,1699,Entertainment,India,IN,58900.0,942900.0,28.1,5.36,1366417754,471031528,2017
elcarteldesantatv,12500000,7489455451,377,Music,Mexico,MX,29000.0,463500.0,40.2,3.42,126014024,102626859,2008
NDTV,12500000,4935793409,151136,Entertainment,India,IN,14600.0,234100.0,28.1,5.36,1366417754,471031528,2006
Wave Music Bhakti,12500000,5146004207,19899,Music,India,IN,2800.0,44300.0,28.1,5.36,1366417754,471031528,2011
Troom Troom PT,12500000,4384177908,2738,Howto & Style,Other,Other,3400.0,54000.0,63.2,9.3,436369043,226156206,2015
Health Time,12500000,1002219689,1810,Howto & Style,India,IN,349.0,5600.0,28.1,5.36,1366417754,471031528,2016
Bebefinn - Nursery Rhymes & Kids Songs,12500000,4163639093,322,Other,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2022
People Vs Food,12500000,1136534702,601,Entertainment,United States,US,3800.0,61400.0,88.2,14.7,328239523,270663028,2013
Wolfoo Family,12500000,161254021,61,Other,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2019
Ja Mill,12500000,1302818088,0,People & Blogs,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2006
colinfurze,12500000,1612094871,385,Entertainment,United Kingdom,GB,2100.0,33900.0,60.0,3.85,66834405,55908316,2006
Yair17,12500000,1402042328,1109,Gaming,Mexico,MX,2200.0,35500.0,40.2,3.42,126014024,102626859,2014
Little Baby Bum en Espa,12500000,6956320454,1459,Education,Spain,ES,4100.0,65300.0,88.9,13.96,47076781,37927409,2014
First We Feast,12500000,2983799729,1076,Howto & Style,United States,US,27800.0,445000.0,88.2,14.7,328239523,270663028,2014
M,12500000,3140883140,766,Travel & Events,Mexico,MX,7800.0,124000.0,40.2,3.42,126014024,102626859,2015
Zee Kids,12400000,7683670251,1212,Film & Animation,India,IN,23800.0,380700.0,28.1,5.36,1366417754,471031528,2012
Migos ATL,12400000,6993406259,99,Music,United States,US,12400.0,197600.0,88.2,14.7,328239523,270663028,2012
Caylus,12400000,4779139505,1340,Education,United States,US,44400.0,710400.0,88.2,14.7,328239523,270663028,2016
Avril Lavigne,12400000,6202090191,205,Music,United States,US,12500.0,200800.0,88.2,14.7,328239523,270663028,2005
ANNA KOVA,12400000,13959586308,1,People & Blogs,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2006
TKOR,12400000,3392022527,0,Education,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2006
bharatzkitchen HINDI,12400000,2315226648,729,Howto & Style,India,IN,7700.0,123900.0,28.1,5.36,1366417754,471031528,2016
MoniLina,12400000,16086808918,0,Comedy,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2016
DisneyChannelUK,12400000,12607488647,4422,Music,United Kingdom,GB,8700.0,139000.0,60.0,3.85,66834405,55908316,2007
Pari's Lifestyle,12400000,7741764747,459,People & Blogs,India,IN,9500.0,152700.0,28.1,5.36,1366417754,471031528,2018
Timba Vk,12400000,2840137980,1024,Gaming,Spain,ES,6000.0,96100.0,88.9,13.96,47076781,37927409,2012
DaniRep  6 V,12400000,6933660906,12419,Gaming,Spain,ES,20700.0,330600.0,88.9,13.96,47076781,37927409,2012
Heidi and Zidane HZHtube,12400000,4021409291,813,Entertainment,Canada,CA,2400.0,38400.0,68.9,5.56,36991981,30628482,2015
SAAIHALILINTAR,12400000,1113066203,409,Entertainment,Indonesia,ID,202.0,3200.0,36.3,4.69,270203917,151509724,2012
Gustavo Par,12400000,2602614088,9,Comedy,Brazil,BR,0.0,0.0,51.3,12.08,212559417,183241641,2010
Gibby,12400000,2862685032,226,People & Blogs,Mexico,MX,2600.0,41100.0,40.2,3.42,126014024,102626859,2014
LOUD,12400000,2394143260,690,Gaming,United States,US,7.0,110.0,88.2,14.7,328239523,270663028,2006
Hero Movies 2023,12400000,1689090619,689,People & Blogs,Other,Other,5500.0,87300.0,63.2,9.3,436369043,226156206,2017
DEV Ke Facts,12400000,1971226335,218,Other,India,IN,68400.0,1100000.0,28.1,5.36,1366417754,471031528,2012
vector,12400000,7597013023,398,Comedy,United States,US,225900.0,3600000.0,88.2,14.7,328239523,270663028,2019
Natan por A,12300000,9029609749,1200,Sports,Brazil,BR,138100.0,2200000.0,51.3,12.08,212559417,183241641,2017
Free Fire India Official,12300000,1674409945,1500,People & Blogs,India,IN,16200.0,258900.0,28.1,5.36,1366417754,471031528,2018
Panda,12300000,2214684303,2452,Other,United Kingdom,GB,17.0,268.0,60.0,3.85,66834405,55908316,2006
RobTopGames,12300000,374123483,39,Gaming,Sweden,SE,968.0,15500.0,67.0,6.48,10285453,9021165,2012
Make Joke Of,12300000,2129773714,62,Comedy,India,IN,6000.0,96000.0,28.1,5.36,1366417754,471031528,2017
